Start Date;01/01/2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
End Date;26/01/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ATO FP Equity;FP FP Equity;EN FP Equity;ADP FP Equity;AI FP Equity;AIR FP Equity;AMS SM Equity;AZN LN Equity;TEAM US Equity;ATO FP Equity;BKT SM Equity;BKG LN Equity;BIM FP Equity;BMW GR Equity;BNP FP Equity;BOBNN SW Equity;EN FP Equity;BP/ LN Equity;BTVCY US Equity;BNZL LN Equity;BVI FP Equity;CPG LN Equity;CPG LN Equity;1COV GY Equity;CRDA LN Equity;BN FP Equity;DAL IM Equity;DGE LN Equity;DPLM LN Equity;EDENFP CorpTicker;FGR FP Equity;ESSITYB SS Equity;ERF FP Equity;EXPN LN Equity;FNAC FP Equity;FRE GY Equity;GEBN SW Equity;GIVN SW Equity;HLMA LN Equity;HAS LN Equity;HENKEL HB Equity;ICON LN Equity;IMA IM Equity;ITX SM Equity;INGA NA Equity;ITRK LN Equity;KOMB CP Equity;KONE AV Equity;LH US Equity;LR FP Equity;MC FP Equity;MARR IM Equity;MDT US Equity;ML FP Equity;NESN SW Equity;RI FP Equity;POM FP Equity;RB/ LN Equity;RIO LN Equity;ROG SW Equity;ROR LN Equity;RUI FP Equity;SGE LN Equity;SAN FP Equity;SAP GY Equity;SLB US Equity;SU FP Equity;GLE FP Equity;SW FP Equity;STAN LN Equity;THEP FP Equity;TOTAL 3.875 PERP REGS Corp;UPM FH Equity;FR FP Equity;VIE FP Equity;DG FP Equity;WDI GY Equity;MRW LN Equity
;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?
Dates;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PX_LAST
#NOM?;76,9033;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?;#NOM?
03/01/2017;77,6972;48,93;34,375;102;87,314;63,5;43,505;4439;24,6;77,6972;7,542;2835;48;90,881;61,92;70;34,375;517,3;13,95;2123;18,645;1535,04;1535,04;64,94;3311,854;60,04;18,85;2099;1050;#N/A N/A;66,82;#N/A N/A;413,95;1586;64,35;73,88;409,9;1859;886,5;151,3;#N/A N/A;14,25;58,9;32,275;13,82;3483;892;#N/A N/A;129,07;54,48;179,7;17,54;70,61;106,45;72,7;103,2;30,415;6784;3136,5;236;247;39,64;651;78,3;82,89;84,8;65,63;48,665;109,55;677,8;41,56;106,26;23,59;55,7;16,155;65,35;42,5;230,8
04/01/2017;77,1301;48,905;34,155;100,9;87,2314;63,4;43,505;4476,5;25,15;77,1301;7,539;2831;48;90,013;62,8;71,2;34,155;519,3;14,57;2094;18,75;1531,92;1531,92;62,15;3316,976;60,56;18,29;2124;1054;#N/A N/A;66,7;#N/A N/A;410,6;1580;63,4;74,57;406,9;1873;894;153;#N/A N/A;14,25;58,75;31,97;13,9;3467;892;#N/A N/A;130,1;54,3;178,1;17,48;71,27;104;73,3;103,4;29,9;6750;3110;238,1;249;39,24;653;78,3;82,43;85,43;65,84;48,235;109,05;683,2;41,075;106,386;23,39;54,39;16,1;64,91;42,37;231,9
05/01/2017;77,1301;48,93;33,99;101,95;87,2727;64,6;43,875;4550;24,97;77,1301;7,543;2917;47,8333;90,011;62,22;72,5;33,99;517,3;14,57;2082;18,715;1519,44;1519,44;62,76;3356,927;61,15;18,5;2135;1031;#N/A N/A;67,02;#N/A N/A;412,5;1569;63,93;74,56;410,7;1874;900;152,6;#N/A N/A;14,25;58,6;31,45;13,85;3437;891,5;#N/A N/A;129,11;53,75;176,95;17,59;70,83;104,65;74,1;103,8;31,15;6711;3110,5;241,2;249,7;39,57;653,5;78,27;82,69;85,3;66,04;47,1;108,65;690,3;41,25;106,463;23,46;55,14;15,795;65,14;42,625;233,1
06/01/2017;77,7351;48,77;34,1;101,2;87,6446;65,14;43,62;4550,5;24,72;77,7351;7,571;2891;47,95;90,387;62,49;70;34,1;514,5;14,8;2081;18,96;1516,32;1516,32;62,4;3327,22;61,06;18,5;2143,5;1032;#N/A N/A;67,46;#N/A N/A;413,65;1569;63,51;74,88;410,3;1869;909,5;154,8;#N/A N/A;14,25;59;31,675;13,905;3480;899,9;#N/A N/A;129,34;53,85;179,25;17,67;72,87;104,75;74,6;104,7;31,03;6687;3095;241,3;259,8;39,695;657,5;76,69;83,66;86,48;66,44;47,34;108,3;695,7;41,3;106,316;23,46;55,17;15,635;65,73;41,875;236,3
09/01/2017;77,7351;48,085;33,93;101,3;86,5289;65,28;43,715;4607,5;25,03;77,7351;7,5;2870;47,8;89,8;61,19;70,2;33,93;513,5;14,8;2111;18,975;1514,24;1514,24;62,07;3354,878;61,49;18,26;2169,5;1026;#N/A N/A;67,66;#N/A N/A;418,75;1579;63,79;72,43;409,7;1865;925;153,1;#N/A N/A;14,375;58,9;31,865;13,705;3479;895,9;#N/A N/A;130,73;53,78;180,95;17,65;73,82;105,75;74,7;105,05;31,125;6803;3133;241,9;261,3;39,385;671;77,52;84,34;85,77;66,44;46,205;109,1;697,1;41,5;106,249;23,23;54,61;15,68;66;42,61;237,4
10/01/2017;77,8485;48,23;33,87;100,75;86,3223;65,2;43,805;4660;25,24;77,8485;7,5;2949;47,9833;89,497;60,85;72,4;33,87;511,7;14,8;2108;19;1522,56;1522,56;64,09;3347,708;61,2;18,45;2165,5;1027;#N/A N/A;68,24;#N/A N/A;413,35;1579;63,49;73,12;410,2;1845;934,5;154,5;#N/A N/A;14,375;58,25;31,63;13,64;3467;885,5;#N/A N/A;132,06;53,41;181,1;17,66;74,9;104,5;74,3;104,8;31,54;6783;3293,5;243,4;264,5;39,07;661,5;78,31;84;84,6;67,31;46,39;109;700,7;41,625;106,067;23,18;55,1;15,19;65,91;42,21;246
11/01/2017;77,3948;48,5;34,22;101,5;87,1488;65,46;43,75;4577;26;77,3948;7,467;2898;48,05;89,65;60,62;71;34,22;513,3;14,8;2116;18,895;1516,32;1516,32;63,82;3374,342;60,8;18,54;2174;1031;#N/A N/A;68,03;#N/A N/A;411,95;1583;62,65;73,14;413;1859;942,5;158,8;#N/A N/A;14,375;59,35;31,38;13,645;3510;883,1;#N/A N/A;134,94;53,61;183,25;17,37;74,44;105,95;74,3;104,8;31,97;6755;3346;240,8;267,4;38,86;670;77,32;83,95;85,66;66,97;46,395;107,95;703,4;42,1;105,912;23,24;55,04;15,29;65,57;41,84;239,5
