Date / Ticker;ROG SW EQUITY;BOBNN SW EQUITY;GEBN SW EQUITY;NESN SW EQUITY;BMW GR EQUITY;HEN GR EQUITY;1COV GY EQUITY;SAP GY EQUITY;AMS SM EQUITY;BKT SM EQUITY;ITX SM EQUITY;UPM FH EQUITY;KNEBV FH EQUITY;ERF FP EQUITY;ATO FP EQUITY;AI FP EQUITY;FP FP EQUITY;EN FP EQUITY;SAN FP EQUITY;BN FP EQUITY;RI FP EQUITY;MC FP EQUITY;SW FP EQUITY;ML FP EQUITY;SU FP EQUITY;POM FP EQUITY;DG FP EQUITY;FGR FP EQUITY;BNP FP EQUITY;FNAC FP EQUITY;FR FP EQUITY;RUI FP EQUITY;BIM FP EQUITY;THEP FP Equity;DPLM LN EQUITY;AV/ LN EQUITY;DGE LN EQUITY;HLMA LN EQUITY;RIO LN EQUITY;BP/ LN EQUITY;AZN LN EQUITY;BKG LN EQUITY;BNZL LN EQUITY;RB/ LN EQUITY;SGE LN EQUITY;CPG LN EQUITY;ICLR US EQUITY;MDT US EQUITY;IMA IM EQUITY;MARR IM EQUITY;INGA NA EQUITY;ATCOA SS EQUITY;LH US EQUITY;SLB US EQUITY;ROR LN EQUITY;MRW LN EQUITY;STAN LN EQUITY;FME GY EQUITY;ADP FP EQUITY;EDEN FP EQUITY;HAS LN EQUITY;EXPN LN EQUITY;WDI GY EQUITY;AIR FP EQUITY;CRDA LN Equity;PHIA NA EQUITY;DAL IM EQUITY;LR FP EQUITY;GLE FP EQUITY;BVI FP EQUITY;VIE FP EQUITY;GOOG US EQUITY;BVIC LN Equity;ITRK LN EQUITY;ESSITYB SS EQUITY;DSM NA EQUITY;GIVN SW EQUITY
01/01/2019;216,07114;60,6313;339,3755;70,84009;70,7;85,75;43,18;86,93;60,84;7,018;22,35;22,15;41,64;326;54,0516;98,5909;46,18;31,34;75,66;61,51;143,3;258,2;89,5;86,7;59,72;20,17;72,02;72,96;39,475;57,1;25,51;46,88;57,5;44,5;13,46722;4,17929;31,10816;15,18123;41,51465;5,51989;65,3661;38,72104;26,36681;66,92429;6,69354;18,36439;112,82745;79,42717;54,4;20,6;9,41;20,51759;110,33881;31,50541;2,75577;2,37346;6,78147;56,64;165,5;32,11;1,55819;21,20252;132,8;83,96;53,41554;30,93;20,4;49,3;27,82;17,795;17,955;904,30492;8,89838;53,42368;21,20964;71,44;2020,45155
02/01/2019;216,07114;60,6313;339,3755;70,84009;69,99;85,95;42,9;87,01;61,44;6,98;22,43;22,06;41,84;327,4;54,2784;96,4545;46,655;30,44;75,4;61,04;141,2;253,3;88,42;85,58;59,22;19,64;71,44;72,16;39,085;56,4;24,52;47,76;55,8;43,8;13,2033;4,132;30,65964;15,02445;40,98132;5,63333;65,55012;38,45503;26,18451;66,88267;6,65606;18,15593;112,69519;77,56506;55,6;20,74;9,346;20,63496;111,53948;32,8187;2,75393;2,35194;6,7338;57,24;165,8;31,87;1,56463;20,91541;134,95;84,17;53,04343;30,575;20;48,94;27,425;17,505;17,8;922,67314;8,97247;53,49059;21,39995;70,18;2020,45155
03/01/2019;221,15862;59,36013;332,20377;72,08396;69,21;84,65;42,8;84,31;58,06;6,942;22,11;21,72;41,77;315;51,405;94,6818;46,255;30,16;74,66;61,09;138,95;243,65;87,1;84,2;57,58;19,21;71,2;72,52;38,855;55,05;23,65;46,72;53,1;43;12,81048;4,07828;30,39023;14,56291;40,40569;5,64216;66,65886;38,56453;25,67641;66,15975;6,34646;18,06777;106,41284;74,96272;55,7;20,92;9,374;19,99448;108,51829;32,98535;2,63641;2,40183;6,50728;55,58;163,6;32,12;1,51397;20,52449;126,95;81,21;52,3781;29,1;20,25;48,07;27,44;17;17,675;891,35889;9,0727;51,10882;21,2039;69,54;2027,47224
04/01/2019;223,1842;62,68719;340,46705;73,17952;71,96;86,45;45,34;86,44;60,06;7,158;22,89;22,65;42,38;326,4;53,2954;97,3182;47,41;30,82;75,34;61,98;141,1;251,15;87,64;87,36;59,72;20,22;72,58;73,68;40,74;56,75;24,64;47,96;56,2;43,7;13,1656;4,23531;30,57654;14,96192;42,32516;5,81071;67,93671;39,64184;26,28656;66,54205;6,62073;18,26448;108,39909;77,26635;56,65;21,1;9,837;21,27396;112,18657;34,27144;2,78486;2,40774;6,7814;59,12;168,2;33,11;1,57764;21,09285;133,25;85,12;54,63261;30,075;21,5;49,35;28,37;17,73;17,875;938,72523;9,21592;53,87853;21,36199;72,12;2065,56529
07/01/2019;220,4241;63,57533;339,83902;72,1291;72,21;85,4;45,06;86,62;60,62;7,154;23,07;22,89;42,24;331,6;52,7358;96,7727;47,3;30,9;73,84;60,84;138,65;250,7;88,82;86,94;59,46;20,64;72,22;73,92;40,68;58,25;25,37;48,66;57,7;44,2;13,23177;4,24686;30,28381;15,24772;42,6691;5,80059;66,88279;39,48368;26,18509;65,99176;6,66712;18,32733;108,30936;71,88944;56,4;21,76;9,863;21,74671;110,71584;35,02485;2,78558;2,44643;6,62257;58,8;166,2;33,48;1,59828;20,93359;136,45;83,56;54,45757;29,65;22,05;49,49;28,415;17,65;17,77;931,54591;9,11633;54,25247;21,26671;72,5;2058,41792
08/01/2019;224,78536;64,94294;327,42993;72,55448;72,42;86,6;45,84;87,97;62,16;7,236;23,57;23,31;43,4;351,2;54,3087;96,9091;47,2;30,3;74,42;61,32;138,7;258,55;89,22;87,94;59,92;20,98;73,14;75,48;40,885;60,45;26,25;49,38;57,5;46,8;13,80822;4,3091;30,38252;15,44121;42,89657;5,77435;65,5196;40,11382;26,60554;66,98596;6,66527;18,40725;114,98167;72,48996;56,55;21,46;9,939;22,06494;112,06565;35,50725;2,88051;2,36173;6,80968;58,08;170,7;34,3;1,63521;20,96783;137,95;86,65;55,30549;30,02;22,25;50,2;28,615;17,895;17,965;939,65427;9,11476;55,03291;21,29194;73,34;2060,01319
09/01/2019;225,16636;65,97712;331,17404;72,5615;72,83;88,4;46,78;89,18;62,44;7,082;23,84;23,67;43,7;353,8;55,5639;95,5909;47,83;30,09;74,13;61,56;138,25;261,55;91,5;90,18;60,16;23,25;72,9;73,78;40,775;58,65;27,77;49,5;58,6;47,7;13,91369;4,34803;30,23679;15,66398;43,26426;5,79257;65,46966;41,38657;26,83038;67,06486;6,74415;18,32818;114,89638;73,0946;58,45;21,52;9,821;22,11204;112,45123;35,75826;2,91346;2,39834;6,81394;60,32;162,9;34,8;1,63397;21,05885;142,95;89,68;55,51426;30,82;23,15;51,18;28,505;18,245;18,1;931,81306;9,29979;54,87931;21,89717;75,3;2062,39589
10/01/2019;226,36343;67,29007;328,13855;73,42664;72,89;89,25;45,55;89,44;61,46;7;23,51;23,84;43,44;354,4;56,3957;94,5455;47,6;30,43;74,18;61,76;138,5;259,15;93,74;89,22;59,92;22,72;73,08;74,68;41,215;58,5;27,09;49,26;59;48,7;14,09636;4,38738;30,29277;15,62568;43,02604;5,84024;65,63895;41,39143;27,06235;67,56722;6,88195;18,56796;117,5126;73,73544;60,15;21,42;9,851;21,97816;113,76673;36,19851;2,92788;2,43362;6,88195;59,58;168,2;35,47;1,63571;21,19441;141,75;89,61;56,0692;30,68;23,45;51,14;28,78;18,625;18,25;930,2364;9,38095;56,07514;22,25661;75,76;2073,52436
11/01/2019;226,86112;66,89324;330,2134;73,85723;71,71;88,55;44,88;89;61,88;6,844;23,45;24,08;43,31;342;55,5488;93,8636;46,785;30,05;74,13;62,08;138,45;258,3;93,7;86,78;58,9;21,94;72,98;74,36;41,37;60,7;25,37;49,8;58;47;14,55891;4,46287;30,7641;15,70123;43,31277;5,837;63,96962;41,99686;27,34836;69,17724;6,80909;18,66901;117,78281;73,88313;58,7;21,52;9,826;21,83606;114,88287;36,34939;2,9633;2,46942;6,90876;59,24;166,8;35,2;1,64852;21,4184;139,75;88,38;56,55851;30,5;23,65;51,02;28,855;18,5;17,72;920,65662;9,61448;56,42139;22,11456;75,86;2067,93151
14/01/2019;225,27081;66,52799;325,21834;73,82518;71,71;87,85;45,18;88,07;60,24;6,808;23,21;23,96;42,34;335,6;52,4182;93,0909;47,05;29,5;72,9;61,73;136,55;251,7;93,26;88,94;58,56;22,66;73,04;74,5;41,62;59,7;26,44;49,54;58;46,4;14,49942;4,49583;30,59929;15,6787;43,3635;5,84919;61,87245;42,11684;27,13448;69,01547;6,64885;18,57072;116,86852;73,84334;57,5;21,2;9,887;21,72694;114,27202;36,00244;2,92796;2,48209;6,8847;59,2;166,9;35,2;1,59033;21,08088;135,9;89,91;55,68463;30,2;23,5;50,26;29,03;18,135;17,715;910,24658;9,60264;55,20114;21,74642;75,58;2054,94615
