ISIN;Total Gains;Total Losses;Number of cases;Number of operations;Gain/Loss;Monetary sum
CH0012032048;65000;10000;75000;7;1;837967.90
CH0012684657;0;70080;70080;7;0;-3332528.12
CH0030170408;12000;3000;15000;2;1;-52297.69
CH0038863350;110000;70000;180000;5;1;1514626.78
DE0005190003;80000;130000;210000;2;0;-711492.72
DE0006048408;0;120000;120000;9;0;-2192407.78
DE0006062144;0;130000;130000;4;0;-2407901.38
DE0007164600;170000;0;170000;8;1;4625775.28
ES0109067019;190000;0;190000;7;1;1646964.60
ES0113679I37;100000;500000;600000;3;0;-1011155.00
ES0148396007;257967;192033;450000;10;1;903571.35
FI0009005987;350000;0;350000;6;1;1937265.20
FI0009013403;150000;15000;165000;7;1;1723998.50
FR0000038259;5000;10000;15000;6;0;151149.40
FR0000051732;4013;20000;24013;2;0;-574500.00
FR0000120073;150000;0;150000;5;1;5329490.24
FR0000120271;222659;50000;272659;7;1;768757.94
FR0000120503;50000;200000;250000;2;0;-1522295.00
FR0000120578;130000;0;130000;6;1;1202088.00
FR0000120644;110000;0;110000;2;1;467685.00
FR0000120693;60000;20000;80000;5;1;1491016.12
FR0000121014;50000;0;50000;6;1;8803159.40
FR0000121220;100000;0;100000;2;1;728926.57
FR0000121261;70000;20000;90000;6;1;298088.13
FR0000121972;170000;0;170000;3;1;3740231.30
FR0000124570;20000;140000;160000;4;0;-1808399.94
FR0000125486;130000;0;130000;3;1;5097825.75
FR0000130452;80000;0;80000;3;1;750446.00
FR0000131104;200000;0;200000;2;1;866738.83
FR0011476928;0;100000;100000;16;0;-901824.24
FR0013176526;60000;165000;225000;9;0;-996217.83
FR0013269123;142802;0;142802;8;1;5545459.74
FR0013280286;105000;0;105000;10;1;4446249.32
FR0013333432;30000;0;30000;7;1;1290237.71
GB0001826634;175100;0;175100;12;1;849591.64
GB0002162385;1000000;500000;1500000;4;1;674361.98
GB0002374006;400000;0;400000;6;1;3876861.59
GB0004052071;230000;0;230000;7;1;2727449.49
GB0007188757;290000;0;290000;4;1;1089998.97
GB0007980591;660000;0;660000;2;1;147941.20
GB0009895292;130000;0;130000;7;1;749403.12
GB00B02L3W35;290000;0;290000;20;1;3992445.46
GB00B0744B38;837989;0;837989;21;1;4574118.90
GB00B24CGK77;605978;20000;625978;3;1;64792.52
GB00B8C3BL03;1200000;0;1200000;8;1;1463630.50
GB00BD6K4575;600000;0;600000;6;1;2948854.74
IE0005711209;425000;45000;470000;10;1;-748108.77
IE00BTN1Y115;20000;100000;120000;4;0;-578730.02
IT0001049623;77181;12819;90000;10;1;326905.33
IT0003428445;110000;10000;120000;12;1;261578.71
NL0011821202;30000;410000;440000;2;0;-683630.94
SE0011166610;80000;310000;390000;10;0;-641360838.00
US50540R4092;30000;30000;60000;2;0;-1023921.65
AN8068571086;30000;110000;140000;2;0;-4353685.54
GB00BVFNZH21;530000;10000;540000;5;1;144140.00
GB0006043169;30000;1510000;1540000;5;0;-610750.00
GB0004082847;480000;260000;740000;6;1;324100.00
DE0005785802;40000;60000;100000;6;0;-63200.00
FR0010340141;60000;0;60000;10;1;887354.60
FR0010908533;100000;20000;120000;3;1;999900.00
GB0004161021;1200000;400000;1600000;11;1;70899.18
GB00B19NLV48;200000;0;200000;4;1;1571616.80
DE0007472060;155000;0;155000;3;1;531000.00
NL0000235190;70000;10000;80000;5;1;723400.00
GB00BJFFLV09;179437;0;179437;7;1;2284722.59
NL0000009538;150000;0;150000;2;1;491750.00
IT0004053440;150000;30000;180000;2;1;-128100.00
FR0010307819;150000;0;150000;6;1;682600.00
FR0000130809;350000;0;350000;4;1;644500.00
FR0006174348;170000;30000;200000;6;1;226200.00
FR0000124141;300000;100000;400000;4;1;128000.00
US02079K1079;0;4000;4000;1;0;-105820.68
GB00B0N8QD54;50000;0;50000;2;1;30119.50
GB0031638363;72000;0;72000;5;1;1025654.40
SE0009922164;0;300000;300000;6;0;-79868020.40
NL0000009827;0;40000;40000;3;0;-21855.55
CH0010645932;0;1500;1500;1;0;-357478.18
Total;15032126;6288432;21320558;450;55;-656733549.15
